subjectTimestamp,participantPrivateID,taskName,age,isFemale
22/03/2021 14:47:27,3416166,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",22,0
22/03/2021 14:51:37,3416214,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",25,0
22/03/2021 14:53:12,3416257,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",29,0
22/03/2021 14:54:06,3416285,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",23,0
22/03/2021 14:54:13,3416234,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",31,1
22/03/2021 14:54:18,3416279,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",26,0
22/03/2021 14:54:38,3416277,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",19,0
22/03/2021 14:55:42,3416278,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",27,1
22/03/2021 14:56:53,3416271,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",20,1
22/03/2021 14:57:22,3416337,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",28,1
22/03/2021 14:57:45,3416348,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",21,0
22/03/2021 14:58:02,3416359,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",21,1
22/03/2021 14:58:16,3416361,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",21,0
22/03/2021 14:58:11,3416399,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",21,0
22/03/2021 14:58:33,3416329,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",30,1
22/03/2021 14:59:05,3416388,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",22,0
22/03/2021 14:59:39,3416409,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",19,0
22/03/2021 15:00:12,3416446,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",20,1
22/03/2021 15:00:21,3416440,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",34,1
22/03/2021 15:00:21,3416381,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",22,1
22/03/2021 15:00:46,3416462,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",50,0
22/03/2021 15:01:19,3416461,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",22,1
22/03/2021 15:01:25,3416496,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",21,0
22/03/2021 15:01:37,3416489,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",20,1
22/03/2021 15:01:47,3416394,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",22,1
22/03/2021 15:01:55,3416303,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",21,0
22/03/2021 15:01:54,3416512,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",24,1
22/03/2021 15:01:55,3416524,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",26,0
22/03/2021 15:02:10,3416495,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",24,0
22/03/2021 15:02:17,3416483,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",20,NaN
22/03/2021 15:02:21,3416492,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",19,1
22/03/2021 15:02:30,3416498,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",22,0
22/03/2021 15:02:36,3416538,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",38,1
22/03/2021 15:02:46,3416520,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",31,0
22/03/2021 15:02:58,3416475,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",19,1
22/03/2021 15:03:09,3416453,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",23,0
22/03/2021 15:03:39,3416432,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",26,1
22/03/2021 15:03:37,3416555,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",22,0
22/03/2021 15:03:59,3416536,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",21,0
22/03/2021 15:04:11,3416517,"Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25% , switch stimuli",25,1
