subjectTimestamp,participantPrivateID,taskName,age,isFemale
03/05/2021 14:23:26,3732304,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,23,0
03/05/2021 14:24:30,3732316,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,19,1
03/05/2021 14:25:29,3732310,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,19,0
03/05/2021 14:31:04,3732387,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,20,0
03/05/2021 14:31:17,3732377,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,25,0
03/05/2021 14:31:31,3732404,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,21,1
03/05/2021 14:31:38,3732411,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,20,0
03/05/2021 14:32:02,3732410,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,43,0
03/05/2021 14:32:06,3732423,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,36,0
03/05/2021 14:32:16,3732436,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,25,0
03/05/2021 14:32:25,3732412,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,21,1
03/05/2021 14:32:36,3732399,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,20,0
03/05/2021 14:32:44,3732440,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,20,0
03/05/2021 14:32:54,3732393,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,28,0
03/05/2021 14:33:06,3732416,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,51,0
03/05/2021 14:33:16,3732443,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,22,0
03/05/2021 14:33:24,3732417,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,28,0
03/05/2021 14:33:22,3732468,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,26,0
03/05/2021 14:34:52,3732433,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,20,1
03/05/2021 14:35:19,3732477,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,19,1
03/05/2021 14:36:28,3732484,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,21,0
03/05/2021 14:36:25,3732431,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,20,0
03/05/2021 14:37:03,3732476,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,19,0
03/05/2021 14:37:21,3732492,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,0,1
03/05/2021 14:38:43,3732451,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,27,0
03/05/2021 14:40:09,3732408,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,20,1
03/05/2021 14:40:28,3732466,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,28,0
03/05/2021 14:43:02,3732529,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,23,0
03/05/2021 15:02:45,3732704,Audio Oddball Task - 120 Trials: AABAAB 75% vs AABAAA 25%,24,1
